web-scraper-order,web-scraper-start-url,Champs,Champs-href,Stats,Stats-href
"1670868741-1","https://www.leagueofgraphs.com/champions/builds","Aurelion Sol                                        
                                                                                    

                                            
                                                Mid","https://www.leagueofgraphs.com/champions/builds/aurelionsol","0.6%    

            Popularity
    

                    
                    
                        
    
    
        48.4%    

            Winrate
    

                    
                    
                        
    
    
        0.3%    

            BanRate
    

                    
                

                
                    
                        
                            See more","https://www.leagueofgraphs.com/champions/stats/aurelionsol"
"1670868743-2","https://www.leagueofgraphs.com/champions/builds","Skarner                                        
                                                                                    

                                            
                                                Jungler","https://www.leagueofgraphs.com/champions/builds/skarner","0.8%    

            Popularity
    

                    
                    
                        
    
    
        51.3%    

            Winrate
    

                    
                    
                        
    
    
        0.1%    

            BanRate
    

                    
                

                
                    
                        
                            See more","https://www.leagueofgraphs.com/champions/stats/skarner"
"1670868745-3","https://www.leagueofgraphs.com/champions/builds","Ivern                                        
                                                                                    

                                            
                                                Jungler","https://www.leagueofgraphs.com/champions/builds/ivern","1.0%    

            Popularity
    

                    
                    
                        
    
    
        52.0%    

            Winrate
    

                    
                    
                        
    
    
        0.3%    

            BanRate
    

                    
                

                
                    
                        
                            See more","https://www.leagueofgraphs.com/champions/stats/ivern"
"1670868748-4","https://www.leagueofgraphs.com/champions/builds","Corki                                        
                                                                                    

                                            
                                                Mid","https://www.leagueofgraphs.com/champions/builds/corki","1.4%    

            Popularity
    

                    
                    
                        
    
    
        47.6%    

            Winrate
    

                    
                    
                        
    
    
        0.2%    

            BanRate
    

                    
                

                
                    
                        
                            See more","https://www.leagueofgraphs.com/champions/stats/corki"
"1670868750-5","https://www.leagueofgraphs.com/champions/builds","Rek'Sai                                        
                                                                                    

                                            
                                                Jungler","https://www.leagueofgraphs.com/champions/builds/reksai","1.4%    

            Popularity
    

                    
                    
                        
    
    
        48.4%    

            Winrate
    

                    
                    
                        
    
    
        1.3%    

            BanRate
    

                    
                

                
                    
                        
                            See more","https://www.leagueofgraphs.com/champions/stats/reksai"
"1670868752-6","https://www.leagueofgraphs.com/champions/builds","Quinn                                        
                                                                                    

                                            
                                                Top","https://www.leagueofgraphs.com/champions/builds/quinn","1.4%    

            Popularity
    

                    
                    
                        
    
    
        50.0%    

            Winrate
    

                    
                    
                        
    
    
        0.6%    

            BanRate
    

                    
                

                
                    
                        
                            See more","https://www.leagueofgraphs.com/champions/stats/quinn"
"1670868754-7","https://www.leagueofgraphs.com/champions/builds","Kennen                                        
                                                                                    

                                            
                                                Top","https://www.leagueofgraphs.com/champions/builds/kennen","1.4%    

            Popularity
    

                    
                    
                        
    
    
        47.7%    

            Winrate
    

                    
                    
                        
    
    
        0.3%    

            BanRate
    

                    
                

                
                    
                        
                            See more","https://www.leagueofgraphs.com/champions/stats/kennen"
"1670868756-8","https://www.leagueofgraphs.com/champions/builds","Annie                                        
                                                                                    

                                            
                                                Mid","https://www.leagueofgraphs.com/champions/builds/annie","1.5%    

            Popularity
    

                    
                    
                        
    
    
        50.2%    

            Winrate
    

                    
                    
                        
    
    
        0.4%    

            BanRate
    

                    
                

                
                    
                        
                            See more","https://www.leagueofgraphs.com/champions/stats/annie"
"1670868758-9","https://www.leagueofgraphs.com/champions/builds","Neeko                                        
                                                                                    

                                            
                                                Mid, Support","https://www.leagueofgraphs.com/champions/builds/neeko","1.7%    

            Popularity
    

                    
                    
                        
    
    
        49.6%    

            Winrate
    

                    
                    
                        
    
    
        0.2%    

            BanRate
    

                    
                

                
                    
                        
                            See more","https://www.leagueofgraphs.com/champions/stats/neeko"
"1670868761-10","https://www.leagueofgraphs.com/champions/builds","Rell                                        
                                                                                    

                                            
                                                Support","https://www.leagueofgraphs.com/champions/builds/rell","1.7%    

            Popularity
    

                    
                    
                        
    
    
        52.5%    

            Winrate
    

                    
                    
                        
    
    
        0.4%    

            BanRate
    

                    
                

                
                    
                        
                            See more","https://www.leagueofgraphs.com/champions/stats/rell"
